predict_method, nbits, table_size, total_bits, accuracy
saturating,2,16,32,0.820571137
local_history,2,16,32,0.820571137
saturating,4,16,64,0.819058059
local_history,4,16,64,0.819058059
saturating,6,16,96,0.818805782
local_history,7,16,112,0.818533482
local_history,8,16,128,0.818394092
saturating,8,16,128,0.818394092
saturating,5,16,80,0.818330829
local_history,5,16,80,0.818330829
gshare,1,16,16,0.8078215
global_history,4,2,8,0.792505472
gshare,4,2,8,0.792505472
global_history,5,2,10,0.790382693
gshare,5,2,10,0.790382693
gshare,6,2,12,0.78972985
saturating,1,32,32,0.788915756
local_history,1,32,32,0.788915756
global_history,3,2,6,0.788518768
gshare,3,2,6,0.788518768
global_history,7,2,14,0.788401239
gshare,1,8,8,0.78805078
global_history,8,2,16,0.786963708
global_history,2,2,4,0.769084094
gshare,2,2,4,0.769084094
local_history,4,8,32,0.75951703
saturating,4,8,32,0.75951703
saturating,3,8,24,0.758972333
local_history,3,8,24,0.758972333
saturating,6,8,48,0.758560159
saturating,8,8,64,0.758305271
local_history,8,8,64,0.758305271
saturating,7,8,56,0.758257292
local_history,1,16,16,0.750494179
saturating,1,16,16,0.750494179
saturating,4,4,16,0.748978682
saturating,4,1,4,0.748978682
saturating,4,2,8,0.748978682
local_history,4,2,8,0.748978682
local_history,4,1,4,0.748978682
local_history,4,4,16,0.748978682
global_history,4,1,4,0.748978682
gshare,4,1,4,0.748978682
local_history,5,1,5,0.747641751
local_history,5,4,20,0.747641751
local_history,5,2,10,0.747641751
global_history,5,1,5,0.747641751
gshare,5,1,5,0.747641751
saturating,6,1,6,0.747531477
saturating,6,4,24,0.747531477
local_history,6,1,6,0.747531477
local_history,6,2,12,0.747531477
gshare,6,1,6,0.747531477
saturating,6,2,12,0.747531477
saturating,7,1,7,0.74751542
saturating,7,4,28,0.74751542
local_history,7,1,7,0.74751542
local_history,7,2,14,0.74751542
saturating,7,2,14,0.74751542
global_history,7,1,7,0.74751542
gshare,7,1,7,0.74751542
saturating,8,2,16,0.747449062
local_history,8,4,32,0.747449062
local_history,8,1,8,0.747449062
saturating,8,4,32,0.747449062
local_history,8,2,16,0.747449062
global_history,8,1,8,0.747449062
saturating,2,4,8,0.74546548
saturating,2,1,2,0.74546548
local_history,2,4,8,0.74546548
local_history,2,1,2,0.74546548
saturating,2,2,4,0.74546548
local_history,2,2,4,0.74546548
local_history,2,2,4,0.74546548
local_history,2,4,8,0.74546548
global_history,2,1,2,0.74546548
local_history,2,1,2,0.74546548
gshare,2,1,2,0.74546548
saturating,2,8,16,0.744084537
local_history,2,8,16,0.744084537
local_history,2,8,16,0.744084537
saturating,3,4,12,0.742940683
local_history,3,2,6,0.742940683
local_history,3,4,12,0.742940683
local_history,3,1,3,0.742940683
global_history,3,1,3,0.742940683
gshare,3,1,3,0.742940683
saturating,5,8,40,0.739045971
local_history,5,8,40,0.739045971
global_history,1,256,256,0.697217017
global_history,1,1024,1024,0.697217017
global_history,1,4,4,0.697217017
global_history,1,8,8,0.697217017
global_history,1,16,16,0.697217017
global_history,1,2,2,0.697217017
global_history,1,32,32,0.697217017
global_history,1,512,512,0.697217017
gshare,1,2,2,0.697217017
gshare,1,4,4,0.697217017
global_history,1,64,64,0.697217017
global_history,1,128,128,0.697217017
saturating,1,8,8,0.642579419
local_history,1,8,8,0.642579419
saturating,1,4,4,0.625042816
local_history,1,1,1,0.625042816
local_history,1,4,4,0.625042816
global_history,1,1,1,0.625042816
gshare,1,1,1,0.625042816
saturating,1,1,1,0.625042816
local_history,1,2,2,0.625042816
saturating,1,2,2,0.625042816
